titulo,autores,documento
"Regresión con SVM para reducir la inconsistencia de la matriz AHP.","Favret, F. E., Rodríguez, F. M., Labat, M. D.",asai1.pdf
"Knowledge Representation of Intelligent Public Services through a Semantic Model.","Brys, C. R., Aldana-Montes, J. F.",asai2.pdf
